Date,Meal Time,Expected Diners,Actual Diners,Food Prepared (kg),Food Consumed (kg),Portion Size (g),Food Waste (kg),Special Event,Satisfaction Score,Waste Feedback,Surplus Food (kg),Food Distributed (kg),Weather,Suggestions
2024-04-08,Breakfast,124,122,37.51,32.14,222,5.37,Holiday,4,Moderate Waste,4.27,4.01,Rainy,Consider offering warm food options.
2024-10-24,Dinner,186,197,39.88,30.59,264,9.29,No Event,5,High Waste,0.55,0.14,Rainy,Reduce portion size by 10-20% for the next meal.
2024-10-13,Lunch,200,207,34.19,33.09,257,1.1,Staff Meeting,4,High Waste,1.62,0.32,Sunny,Reduce portion size by 10-20% for the next meal.
2024-08-02,Breakfast,118,103,47.86,39.55,240,8.31,Staff Meeting,5,Minimal Waste,3.81,1.15,Cloudy,Portion sizes seem optimal; continue as is.
2024-04-11,Breakfast,101,106,34.26,25.9,236,8.36,No Event,2,High Waste,1.84,1.57,Rainy,Reduce portion size by 10-20% for the next meal.
2024-04-07,Breakfast,126,140,44.14,42.9,226,1.24,No Event,2,High Waste,0.18,0.15,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-05-27,Dinner,183,196,48.11,32.87,210,15.24,No Event,2,Minimal Waste,1.03,0.27,Sunny,Consider changing the menu or improving food quality.
2024-10-16,Dinner,237,244,44.11,27.88,302,16.23,Holiday,3,High Waste,1.54,1.08,Windy,Reduce portion size by 10-20% for the next meal.
2024-06-26,Dinner,245,255,41.02,35.66,228,5.36,Staff Meeting,1,High Waste,2.21,0.36,Windy,Reduce portion size by 10-20% for the next meal.
2024-07-17,Breakfast,131,151,37.07,26.22,199,10.85,Sports Day,5,Moderate Waste,0.65,0.51,Cloudy,Increase portions slightly for high energy consumption.
2024-08-31,Breakfast,140,123,36.62,33.23,211,3.39,Sports Day,5,High Waste,3.63,2.38,Windy,Reduce portion size by 10-20% for the next meal.
2024-05-22,Breakfast,119,118,44.41,37.37,222,7.04,Holiday,3,Minimal Waste,2.33,0.55,Sunny,Portion sizes seem optimal; continue as is.
2024-10-31,Lunch,194,175,48.24,39.83,288,8.41,No Event,1,High Waste,1.23,0.85,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-14,Dinner,207,202,43.03,26.93,264,16.1,No Event,5,Minimal Waste,3.87,0.95,Cloudy,Portion sizes seem optimal; continue as is.
2024-02-11,Breakfast,132,145,38.18,25.83,216,12.35,Sports Day,1,Moderate Waste,4.21,2.58,Sunny,Consider changing the menu or improving food quality.
2024-01-29,Dinner,245,254,49.59,43.82,235,5.77,No Event,5,High Waste,2.6,2.19,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-04-16,Lunch,170,176,44.97,36.83,220,8.14,Staff Meeting,4,High Waste,0.57,0.41,Rainy,Reduce portion size by 10-20% for the next meal.
2024-06-20,Lunch,160,166,35.65,34.57,258,1.08,Holiday,5,Moderate Waste,3.7,0.5,Sunny,Portion sizes seem optimal; continue as is.
2024-08-16,Breakfast,131,114,31.18,27.86,206,3.32,No Event,5,High Waste,4.54,0.62,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-02-10,Lunch,162,160,44.33,26.15,228,18.18,Holiday,2,Minimal Waste,0.16,0.11,Cloudy,Consider changing the menu or improving food quality.
2024-06-06,Breakfast,145,129,41.62,28.34,235,13.28,Holiday,4,Moderate Waste,1.16,0.39,Sunny,Portion sizes seem optimal; continue as is.
2024-07-21,Breakfast,132,137,40.08,26.51,224,13.57,Staff Meeting,1,Minimal Waste,0.67,0.48,Windy,Consider changing the menu or improving food quality.
2024-10-08,Dinner,230,240,34.4,33.05,216,1.35,No Event,5,Moderate Waste,4.36,0.53,Cloudy,Portion sizes seem optimal; continue as is.
2024-05-11,Breakfast,137,150,34.44,28.7,224,5.74,Staff Meeting,4,Moderate Waste,1.08,0.22,Sunny,Portion sizes seem optimal; continue as is.
2024-03-06,Dinner,234,214,32.99,32.97,331,0.02,No Event,3,High Waste,2.15,0.72,Windy,Reduce portion size by 10-20% for the next meal.
2024-04-05,Dinner,240,233,31.42,28.6,303,2.82,Holiday,2,High Waste,2.92,2.65,Rainy,Reduce portion size by 10-20% for the next meal.
2024-02-17,Dinner,230,223,45.1,43.55,253,1.55,Holiday,4,Moderate Waste,3.09,2.63,Rainy,Consider offering warm food options.
2024-07-03,Lunch,176,168,49.46,42.7,220,6.76,Sports Day,1,Minimal Waste,4.08,2.21,Rainy,Consider changing the menu or improving food quality.
2024-02-08,Lunch,193,179,48.74,43.4,227,5.34,Holiday,1,High Waste,2.6,2.55,Windy,Reduce portion size by 10-20% for the next meal.
2024-01-04,Dinner,187,174,30.3,27.35,247,2.95,Staff Meeting,2,High Waste,2.92,0.95,Windy,Reduce portion size by 10-20% for the next meal.
2024-01-09,Lunch,192,206,46.85,35.13,261,11.72,Holiday,4,Moderate Waste,0.44,0.21,Sunny,Portion sizes seem optimal; continue as is.
2024-01-10,Lunch,178,173,38.45,25.94,235,12.51,No Event,2,Moderate Waste,4.43,4.17,Cloudy,Consider changing the menu or improving food quality.
2024-08-27,Lunch,186,175,45.14,42.11,281,3.03,Sports Day,3,Moderate Waste,4.0,3.1,Rainy,Increase portions slightly for high energy consumption.
2024-06-21,Dinner,182,188,45.56,26.45,273,19.11,Sports Day,2,Minimal Waste,2.82,2.79,Sunny,Consider changing the menu or improving food quality.
2024-10-15,Breakfast,150,144,30.06,29.58,189,0.48,Staff Meeting,2,High Waste,4.49,2.61,Rainy,Reduce portion size by 10-20% for the next meal.
2024-09-10,Dinner,242,241,36.73,32.46,294,4.27,Sports Day,5,Minimal Waste,4.92,4.71,Rainy,Increase portions slightly for high energy consumption.
2024-03-05,Lunch,198,180,32.76,30.65,250,2.11,Sports Day,3,Minimal Waste,3.85,2.4,Windy,Increase portions slightly for high energy consumption.
2024-08-18,Dinner,224,206,46.98,41.57,305,5.41,No Event,5,Moderate Waste,1.85,0.25,Sunny,Portion sizes seem optimal; continue as is.
2024-06-02,Lunch,172,159,43.62,35.22,253,8.4,Holiday,1,Moderate Waste,1.12,1.0,Sunny,Consider changing the menu or improving food quality.
2024-03-01,Lunch,171,181,49.33,29.34,263,19.99,Holiday,3,Minimal Waste,4.7,0.33,Windy,Portion sizes seem optimal; continue as is.
2024-04-22,Breakfast,138,138,37.68,37.4,181,0.28,Sports Day,2,Moderate Waste,2.65,2.27,Rainy,Consider changing the menu or improving food quality.
2024-07-18,Lunch,153,146,37.49,31.82,248,5.67,Sports Day,5,Minimal Waste,2.53,1.79,Rainy,Increase portions slightly for high energy consumption.
2024-08-24,Lunch,177,182,33.22,29.22,222,4.0,Holiday,4,Minimal Waste,1.78,0.88,Cloudy,Portion sizes seem optimal; continue as is.
2024-08-25,Breakfast,150,152,35.42,34.06,208,1.36,No Event,3,High Waste,0.27,0.13,Sunny,Reduce portion size by 10-20% for the next meal.
2024-02-15,Breakfast,138,128,37.73,28.76,247,8.97,Holiday,3,Minimal Waste,2.53,0.86,Windy,Portion sizes seem optimal; continue as is.
2024-07-19,Dinner,233,253,41.75,31.59,207,10.16,Sports Day,5,Minimal Waste,2.41,2.28,Rainy,Increase portions slightly for high energy consumption.
2024-10-02,Lunch,179,166,41.31,28.46,244,12.85,Holiday,4,Moderate Waste,2.62,1.89,Cloudy,Portion sizes seem optimal; continue as is.
2024-01-26,Dinner,208,208,42.09,31.19,245,10.9,Sports Day,1,Minimal Waste,0.95,0.15,Rainy,Consider changing the menu or improving food quality.
2024-02-21,Dinner,211,221,40.66,27.84,223,12.82,No Event,5,Moderate Waste,2.68,1.44,Windy,Portion sizes seem optimal; continue as is.
2024-09-24,Dinner,233,241,46.84,25.16,240,21.68,Sports Day,5,High Waste,3.9,2.1,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-19,Dinner,224,242,45.31,36.06,207,9.25,Sports Day,1,Moderate Waste,1.78,0.82,Windy,Consider changing the menu or improving food quality.
2024-04-10,Breakfast,103,97,46.42,36.55,182,9.87,No Event,3,High Waste,1.32,0.94,Rainy,Reduce portion size by 10-20% for the next meal.
2024-10-21,Lunch,153,173,48.9,26.6,242,22.3,Staff Meeting,2,Minimal Waste,2.41,1.63,Rainy,Consider changing the menu or improving food quality.
2024-04-10,Dinner,182,198,44.12,32.58,239,11.54,Sports Day,5,Minimal Waste,2.08,0.33,Windy,Increase portions slightly for high energy consumption.
2024-06-23,Breakfast,134,128,46.67,37.49,181,9.18,Sports Day,4,Moderate Waste,1.93,1.23,Cloudy,Increase portions slightly for high energy consumption.
2024-06-27,Lunch,199,192,39.42,32.73,235,6.69,No Event,1,High Waste,2.07,0.36,Windy,Reduce portion size by 10-20% for the next meal.
2024-09-23,Dinner,239,227,40.43,28.12,343,12.31,Sports Day,2,High Waste,4.7,4.47,Windy,Reduce portion size by 10-20% for the next meal.
2024-02-24,Lunch,195,192,37.45,34.82,274,2.63,Sports Day,2,Minimal Waste,1.97,1.04,Cloudy,Consider changing the menu or improving food quality.
2024-03-21,Breakfast,119,101,34.58,30.56,188,4.02,Holiday,2,Minimal Waste,4.33,1.23,Cloudy,Consider changing the menu or improving food quality.
2024-09-10,Dinner,203,208,46.58,43.12,211,3.46,No Event,1,Moderate Waste,4.74,1.77,Sunny,Consider changing the menu or improving food quality.
2024-01-12,Lunch,160,174,38.98,27.1,246,11.88,Sports Day,5,Minimal Waste,3.46,2.21,Windy,Increase portions slightly for high energy consumption.
2024-04-06,Breakfast,127,145,45.52,38.1,185,7.42,No Event,2,Minimal Waste,2.57,1.59,Windy,Consider changing the menu or improving food quality.
2024-04-13,Dinner,228,210,43.76,25.93,260,17.83,Sports Day,1,Minimal Waste,2.94,0.28,Rainy,Consider changing the menu or improving food quality.
2024-07-31,Dinner,248,243,41.28,33.5,328,7.78,No Event,4,Minimal Waste,1.24,0.37,Sunny,Portion sizes seem optimal; continue as is.
2024-07-31,Breakfast,114,115,37.55,31.17,186,6.38,Sports Day,2,High Waste,0.87,0.49,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-04-25,Dinner,230,239,42.43,30.99,297,11.44,Sports Day,5,Minimal Waste,2.73,0.74,Rainy,Increase portions slightly for high energy consumption.
2024-05-30,Lunch,164,174,30.37,26.54,239,3.83,No Event,2,High Waste,2.32,1.24,Sunny,Reduce portion size by 10-20% for the next meal.
2024-08-06,Dinner,201,192,37.0,28.22,304,8.78,Sports Day,3,High Waste,4.77,3.91,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-05,Dinner,241,252,38.73,30.51,344,8.22,Holiday,5,High Waste,1.75,1.01,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-23,Lunch,192,190,30.43,27.23,266,3.2,Staff Meeting,1,Minimal Waste,1.21,0.19,Windy,Consider changing the menu or improving food quality.
2024-04-10,Breakfast,136,131,34.6,33.06,187,1.54,Staff Meeting,5,High Waste,4.28,4.05,Rainy,Reduce portion size by 10-20% for the next meal.
2024-01-14,Dinner,203,195,33.61,32.48,222,1.13,Staff Meeting,5,High Waste,0.62,0.28,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-20,Dinner,197,187,41.5,35.0,306,6.5,No Event,4,Moderate Waste,1.45,1.35,Rainy,Consider offering warm food options.
2024-06-25,Lunch,168,174,47.2,31.06,249,16.14,Holiday,4,Minimal Waste,2.5,0.21,Cloudy,Portion sizes seem optimal; continue as is.
2024-06-23,Dinner,198,192,36.41,26.34,342,10.07,No Event,1,Moderate Waste,3.37,2.22,Cloudy,Consider changing the menu or improving food quality.
2024-08-23,Dinner,191,175,46.66,28.28,309,18.38,No Event,1,Minimal Waste,1.78,1.19,Rainy,Consider changing the menu or improving food quality.
2024-03-27,Dinner,181,173,42.57,27.09,339,15.48,Staff Meeting,5,High Waste,1.18,1.0,Rainy,Reduce portion size by 10-20% for the next meal.
2024-01-16,Lunch,174,174,35.33,26.55,239,8.78,Holiday,2,High Waste,4.13,1.1,Sunny,Reduce portion size by 10-20% for the next meal.
2024-08-10,Dinner,215,226,39.78,26.74,253,13.04,Staff Meeting,3,Moderate Waste,0.38,0.29,Rainy,Consider offering warm food options.
2024-02-07,Dinner,180,164,39.45,38.33,210,1.12,Staff Meeting,3,Minimal Waste,3.56,1.96,Cloudy,Portion sizes seem optimal; continue as is.
2024-01-11,Breakfast,133,134,36.1,33.06,189,3.04,No Event,1,Minimal Waste,1.29,0.57,Cloudy,Consider changing the menu or improving food quality.
2024-06-06,Lunch,184,183,48.37,31.07,228,17.3,No Event,4,High Waste,0.16,0.13,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-04-29,Lunch,179,180,38.96,26.99,220,11.97,No Event,2,High Waste,2.29,1.08,Rainy,Reduce portion size by 10-20% for the next meal.
2024-02-01,Dinner,184,196,40.65,31.34,225,9.31,Holiday,1,High Waste,0.72,0.49,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-09-03,Breakfast,131,111,31.55,29.0,203,2.55,Staff Meeting,5,Moderate Waste,0.42,0.19,Sunny,Portion sizes seem optimal; continue as is.
